U_up,U_low
0.159,0.152
0.158,0.152
0.159,0.151
0.158,0.151
0.158,0.152
0.158,0.151
0.157,0.152
0.156,0.152
0.155,0.152
0.156,0.152
0.155,0.152
0.157,0.152
0.158,0.155
0.158,0.154
0.157,0.156
0.156,0.157
0.156,0.157
0.153,0.157
0.152,0.154
0.153,0.157
0.152,0.153
0.149,0.152
0.151,0.152
0.151,0.152
0.151,0.154
0.154,0.152
0.151,0.154
0.151,0.155
0.153,0.152
0.152,0.153
0.151,0.153
0.15,0.154
0.151,0.154
0.151,0.155
0.153,0.154
0.153,0.155
0.155,0.155
0.158,0.154
0.155,0.156
0.153,0.161
0.152,0.156
0.152,0.157
0.155,0.157
0.155,0.157
0.154,0.155
0.153,0.156
0.153,0.156
0.155,0.153
0.156,0.153
0.155,0.154
0.155,0.152
0.155,0.153
0.156,0.152
0.156,0.152
0.156,0.152
0.157,0.151
0.156,0.151
0.156,0.151
0.158,0.15
0.157,0.15
0.156,0.149
0.156,0.149
0.156,0.149
0.156,0.148
0.155,0.148
0.154,0.148
0.154,0.148
0.155,0.149
0.159,0.154
0.159,0.155
0.159,0.156
0.16,0.155
0.159,0.155
0.159,0.156
0.159,0.155
0.159,0.155
0.16,0.154
0.16,0.154
0.159,0.154
0.16,0.155
0.159,0.154
0.159,0.155
0.159,0.154
0.159,0.154
0.159,0.154
0.16,0.154
0.159,0.154
0.159,0.154
0.159,0.154
0.159,0.153
0.159,0.154
0.159,0.154
0.159,0.154
0.159,0.153
0.159,0.153
0.159,0.153
0.159,0.153
0.159,0.153
0.16,0.153
0.159,0.152
0.159,0.153
0.159,0.153
0.159,0.153
0.159,0.154
0.159,0.153
0.159,0.153
0.159,0.153
0.159,0.153
0.159,0.152
0.159,0.152
0.159,0.152
0.159,0.152
0.159,0.153
0.159,0.152
0.159,0.152
0.159,0.153
0.159,0.152
0.159,0.153
0.159,0.153
0.159,0.152
0.159,0.153
0.159,0.152
0.159,0.152
0.159,0.152
0.159,0.153
0.159,0.153
0.159,0.154
0.159,0.152
0.159,0.153
0.159,0.152
0.159,0.153
0.159,0.152
0.159,0.153
0.159,0.153
0.159,0.152
0.159,0.153
0.159,0.153
0.159,0.153
0.159,0.153
0.158,0.154
0.159,0.153
0.159,0.153
0.159,0.152
0.159,0.153
0.159,0.153
0.158,0.154
0.158,0.154
0.159,0.153
0.158,0.152
0.158,0.153
0.158,0.153
0.158,0.153
0.159,0.153
0.159,0.153
0.159,0.154
0.159,0.154
0.159,0.154
0.159,0.156
0.16,0.155
0.159,0.156
0.159,0.156
0.16,0.156
0.16,0.156
0.16,0.156
0.158,0.155
0.144,0.136
0.143,0.136
0.143,0.135
0.143,0.136
0.142,0.136
0.141,0.137
0.141,0.136
0.14,0.136
0.141,0.137
0.142,0.137
0.143,0.137
0.144,0.138
0.144,0.138
0.144,0.137
0.144,0.137
0.145,0.138
0.144,0.137
0.144,0.138
0.144,0.138
0.145,0.138
0.145,0.138
0.148,0.142
0.156,0.158
0.156,0.159
0.156,0.16
0.156,0.16
0.156,0.159
0.156,0.159
0.156,0.159
0.155,0.16
0.155,0.16
0.155,0.16
0.154,0.16
0.155,0.161
0.156,0.16
0.156,0.16
0.165,0.158
0.163,0.157
0.159,0.157
0.158,0.158
0.158,0.158
0.157,0.157
0.157,0.157
0.157,0.156
0.157,0.155
0.16,0.156
0.166,0.155
0.17,0.154
0.171,0.154
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.152
0.172,0.152
0.172,0.153
0.172,0.153
0.172,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.152
0.172,0.152
0.172,0.152
0.172,0.152
0.172,0.152
0.172,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.154
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.154
0.171,0.153
0.171,0.153
0.171,0.154
0.171,0.154
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.154
0.171,0.154
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.17,0.153
0.17,0.153
0.17,0.154
0.171,0.155
0.17,0.155
0.169,0.154
0.169,0.154
0.17,0.154
0.171,0.154
0.171,0.153
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.169,0.154
0.169,0.155
0.169,0.155
0.169,0.154
0.169,0.155
0.169,0.155
0.17,0.155
0.17,0.154
0.17,0.155
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.171,0.154
0.171,0.153
0.171,0.154
0.171,0.153
0.171,0.154
0.171,0.153
0.171,0.154
0.171,0.153
0.172,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.171,0.154
0.171,0.154
0.171,0.153
0.171,0.154
0.171,0.154
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.154
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.169,0.154
0.169,0.154
0.169,0.154
0.169,0.154
0.17,0.154
0.17,0.154
0.17,0.153
0.17,0.154
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.15,0.134
0.168,0.151
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.169,0.153
0.169,0.153
0.169,0.153
0.168,0.153
0.168,0.153
0.168,0.153
0.167,0.154
0.167,0.154
0.166,0.155
0.166,0.155
0.166,0.155
0.166,0.155
0.166,0.155
0.166,0.156
0.166,0.156
0.166,0.156
0.165,0.157
0.164,0.156
0.164,0.157
0.164,0.157
0.165,0.157
0.166,0.157
0.167,0.156
0.166,0.156
0.166,0.156
0.166,0.156
0.166,0.156
0.166,0.157
0.165,0.157
0.164,0.157
0.161,0.159
0.161,0.159
0.161,0.16
0.161,0.16
0.161,0.16
0.162,0.16
0.165,0.159
0.165,0.158
0.167,0.158
0.168,0.157
0.169,0.156
0.17,0.156
0.172,0.156
0.173,0.155
0.174,0.155
0.173,0.154
0.173,0.154
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.173,0.153
0.173,0.152
0.173,0.153
0.173,0.152
0.172,0.153
0.172,0.152
0.172,0.152
0.172,0.152
0.172,0.152
0.172,0.152
0.172,0.151
0.172,0.152
0.172,0.152
0.172,0.152
0.171,0.152
0.171,0.151
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.153
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.171,0.152
0.171,0.152
0.17,0.152
0.17,0.152
0.171,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.151
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.151
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.17,0.152
0.17,0.152
0.17,0.151
0.17,0.153
0.17,0.152
0.17,0.151
0.17,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.151
0.171,0.152
0.171,0.152
0.17,0.151
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.151
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.169,0.153
0.168,0.153
0.168,0.154
0.167,0.154
0.166,0.154
0.166,0.155
0.165,0.155
0.165,0.156
0.164,0.156
0.164,0.156
0.162,0.157
0.162,0.158
0.162,0.158
0.162,0.158
0.162,0.158
0.163,0.159
0.165,0.158
0.167,0.157
0.167,0.157
0.168,0.156
0.168,0.156
0.168,0.156
0.168,0.156
0.169,0.155
0.168,0.156
0.168,0.156
0.168,0.156
0.168,0.156
0.168,0.156
0.167,0.156
0.168,0.156
0.168,0.156
0.168,0.156
0.168,0.155
0.168,0.155
0.169,0.155
0.169,0.155
0.169,0.155
