U_up,U_low
0.173,0.154
0.173,0.153
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.153
0.173,0.153
0.172,0.154
0.172,0.153
0.172,0.154
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.154
0.172,0.153
0.172,0.153
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.153
0.173,0.153
0.173,0.153
0.174,0.153
0.174,0.153
0.173,0.153
0.172,0.153
0.172,0.154
0.171,0.154
0.17,0.154
0.169,0.155
0.169,0.155
0.168,0.156
0.167,0.156
0.166,0.157
0.166,0.158
0.165,0.158
0.164,0.159
0.162,0.159
0.162,0.16
0.161,0.161
0.159,0.162
0.158,0.163
0.157,0.163
0.157,0.164
0.159,0.164
0.159,0.164
0.159,0.164
0.16,0.164
0.16,0.163
0.161,0.163
0.161,0.163
0.162,0.163
0.164,0.162
0.165,0.162
0.166,0.161
0.166,0.161
0.167,0.161
0.168,0.16
0.168,0.16
0.169,0.16
0.169,0.159
0.17,0.159
0.17,0.159
0.17,0.159
0.171,0.158
0.171,0.158
0.171,0.158
0.172,0.158
0.172,0.158
0.172,0.157
0.173,0.157
0.173,0.157
0.173,0.156
0.174,0.156
0.174,0.156
0.174,0.156
0.174,0.155
0.175,0.155
0.175,0.155
0.175,0.155
0.176,0.155
0.176,0.154
0.176,0.154
0.176,0.154
0.176,0.154
0.176,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.153
0.174,0.153
0.174,0.154
0.174,0.153
0.174,0.153
0.174,0.153
0.173,0.153
0.173,0.154
0.173,0.154
0.173,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.171,0.154
0.171,0.155
0.17,0.155
0.169,0.156
0.168,0.156
0.168,0.156
0.167,0.157
0.167,0.157
0.166,0.158
0.166,0.158
0.165,0.158
0.165,0.159
0.164,0.159
0.163,0.16
0.161,0.161
0.162,0.162
0.162,0.161
0.161,0.162
0.162,0.162
0.165,0.161
0.164,0.161
0.164,0.161
0.162,0.162
0.163,0.162
0.164,0.162
0.164,0.162
0.167,0.161
0.168,0.16
0.168,0.16
0.167,0.16
0.168,0.16
0.168,0.16
0.168,0.16
0.168,0.16
0.168,0.16
0.168,0.16
0.168,0.16
0.169,0.16
0.169,0.159
0.169,0.159
0.17,0.159
0.171,0.159
0.171,0.158
0.172,0.158
0.173,0.157
0.174,0.157
0.174,0.156
0.174,0.156
0.175,0.155
0.175,0.155
0.175,0.155
0.175,0.155
0.176,0.155
0.176,0.155
0.176,0.154
0.176,0.154
0.176,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.174,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.154
0.173,0.153
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.154
0.173,0.153
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.172,0.154
0.172,0.155
0.171,0.155
0.17,0.155
0.17,0.156
0.17,0.156
0.168,0.156
0.167,0.157
0.166,0.158
0.165,0.159
0.164,0.159
0.163,0.16
0.162,0.16
0.161,0.161
0.159,0.162
0.161,0.163
0.167,0.161
0.169,0.16
0.169,0.16
0.168,0.16
0.168,0.159
0.169,0.159
0.169,0.159
0.171,0.159
0.17,0.158
0.169,0.159
0.168,0.159
0.167,0.16
0.165,0.161
0.168,0.161
0.168,0.16
0.168,0.16
0.166,0.16
0.168,0.161
0.169,0.16
0.165,0.161
0.167,0.161
0.168,0.16
0.168,0.16
0.169,0.159
0.17,0.159
0.17,0.158
0.171,0.158
0.172,0.158
0.172,0.158
0.173,0.157
0.173,0.157
0.174,0.156
0.175,0.156
0.175,0.155
0.175,0.155
0.176,0.154
0.176,0.154
0.176,0.154
0.177,0.154
0.177,0.154
0.177,0.154
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.154
0.177,0.154
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.154
0.177,0.154
0.177,0.154
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.178,0.154
0.178,0.153
0.178,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.176,0.154
0.176,0.154
0.176,0.153
0.176,0.153
0.176,0.154
0.176,0.154
0.176,0.154
0.176,0.154
0.176,0.154
0.176,0.153
0.176,0.153
0.177,0.153
0.177,0.153
0.178,0.152
0.178,0.153
0.178,0.153
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.177,0.153
0.177,0.153
0.176,0.153
0.176,0.153
0.175,0.153
0.175,0.153
0.176,0.154
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.177,0.153
0.177,0.152
0.178,0.153
0.177,0.153
0.177,0.152
0.177,0.152
0.176,0.152
0.176,0.153
0.176,0.153
0.176,0.153
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.176,0.152
0.176,0.152
0.176,0.153
0.175,0.152
0.175,0.153
0.174,0.153
0.172,0.154
0.172,0.154
0.171,0.154
0.17,0.155
0.17,0.156
0.169,0.156
0.167,0.156
0.167,0.157
0.166,0.158
0.165,0.158
0.163,0.159
0.162,0.159
0.162,0.161
0.159,0.162
0.157,0.163
0.156,0.164
0.155,0.165
0.158,0.165
0.16,0.164
0.161,0.164
0.161,0.164
0.161,0.164
0.161,0.163
0.161,0.162
0.163,0.163
0.164,0.162
0.161,0.162
0.159,0.164
0.156,0.166
0.162,0.165
0.166,0.163
0.166,0.162
0.162,0.163
0.16,0.164
0.164,0.164
0.166,0.163
0.169,0.162
0.17,0.161
0.172,0.16
0.172,0.16
0.173,0.159
0.173,0.159
0.174,0.158
0.174,0.158
0.175,0.157
0.175,0.157
0.176,0.156
0.176,0.156
0.177,0.156
0.177,0.155
0.178,0.154
0.179,0.154
0.18,0.153
0.181,0.153
0.181,0.152
0.181,0.152
0.182,0.152
0.182,0.151
0.183,0.151
0.182,0.151
0.182,0.151
0.182,0.151
0.182,0.151
0.181,0.152
0.181,0.152
0.18,0.151
0.18,0.152
0.18,0.152
0.18,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.177,0.152
0.178,0.151
0.177,0.152
0.178,0.15
0.175,0.152
0.175,0.152
0.175,0.153
0.175,0.152
0.175,0.153
0.175,0.152
0.175,0.152
0.175,0.152
0.175,0.152
0.175,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.173,0.153
0.173,0.154
0.173,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.171,0.154
0.171,0.154
0.172,0.154
0.172,0.154
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.152
0.171,0.153
0.168,0.154
0.165,0.155
0.164,0.156
0.16,0.159
0.157,0.161
0.155,0.163
0.154,0.165
0.157,0.165
0.158,0.164
0.158,0.164
0.159,0.164
0.16,0.164
0.159,0.163
0.159,0.163
0.163,0.163
0.162,0.163
0.158,0.164
0.153,0.165
0.152,0.168
0.158,0.167
0.163,0.165
0.164,0.164
0.161,0.163
0.158,0.165
0.161,0.165
0.164,0.164
0.167,0.163
0.169,0.162
0.17,0.161
0.171,0.161
0.172,0.16
0.173,0.159
0.173,0.159
0.173,0.158
0.174,0.158
0.175,0.157
0.175,0.157
0.176,0.156
0.176,0.156
0.177,0.155
0.178,0.155
0.179,0.154
0.179,0.154
0.18,0.153
0.181,0.152
0.181,0.152
0.181,0.152
0.181,0.152
0.182,0.151
0.181,0.151
0.181,0.151
0.181,0.151
0.181,0.151
0.181,0.152
0.181,0.152
0.181,0.152
0.181,0.151
0.18,0.152
0.18,0.152
0.18,0.152
0.18,0.152
0.18,0.152
0.18,0.152
0.18,0.152
0.18,0.152
0.18,0.152
0.18,0.152
0.18,0.152
0.18,0.152
0.18,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.151
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.178,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.177,0.152
0.176,0.152
0.176,0.152
0.176,0.152
0.175,0.152
0.174,0.153
0.173,0.153
0.173,0.154
0.172,0.154
0.172,0.154
0.171,0.155
0.171,0.155
0.17,0.155
0.169,0.156
0.169,0.156
0.168,0.156
0.168,0.157
0.167,0.157
0.167,0.157
0.168,0.157
0.168,0.157
0.168,0.157
0.168,0.157
0.167,0.158
0.167,0.158
0.167,0.158
0.166,0.159
0.166,0.159
0.166,0.159
0.166,0.159
0.166,0.159
0.166,0.159
0.166,0.16
0.166,0.16
0.166,0.16
0.165,0.16
0.164,0.16
0.164,0.161
0.164,0.161
0.165,0.161
0.166,0.16
0.167,0.16
0.168,0.159
0.168,0.159
0.169,0.159
0.169,0.159
0.17,0.158
0.17,0.158
0.17,0.158
0.171,0.158
0.171,0.158
0.171,0.158
0.171,0.157
0.171,0.157
0.172,0.157
0.172,0.157
0.173,0.156
0.173,0.156
0.173,0.156
0.174,0.156
0.174,0.155
0.175,0.155
0.175,0.155
0.175,0.155
0.176,0.154
0.176,0.154
0.176,0.154
0.176,0.154
0.176,0.154
0.176,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.152
0.175,0.153
0.175,0.153
0.175,0.152
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.171,0.154
0.17,0.154
0.17,0.154
0.169,0.155
0.168,0.155
0.167,0.156
0.166,0.156
0.166,0.157
0.165,0.158
0.164,0.158
0.162,0.159
0.161,0.16
0.16,0.161
0.157,0.162
0.154,0.164
0.154,0.164
0.154,0.167
0.157,0.166
0.158,0.165
0.159,0.164
0.16,0.165
0.162,0.164
0.168,0.162
0.168,0.161
0.168,0.16
0.168,0.16
0.167,0.16
0.164,0.161
0.163,0.162
0.166,0.162
0.169,0.161
0.169,0.16
0.167,0.16
0.166,0.161
0.168,0.161
0.17,0.16
0.172,0.16
0.172,0.159
0.173,0.159
0.173,0.158
0.174,0.158
0.173,0.157
0.174,0.158
0.174,0.157
0.174,0.157
0.174,0.157
0.175,0.157
0.175,0.156
0.176,0.156
0.177,0.155
0.177,0.155
0.177,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.153
0.178,0.153
0.178,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.154
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.177,0.154
0.176,0.154
0.176,0.154
0.176,0.154
0.177,0.154
0.177,0.153
0.177,0.154
0.177,0.153
0.177,0.153
0.176,0.153
0.176,0.153
0.176,0.154
0.176,0.153
0.176,0.153
0.176,0.154
0.176,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.177,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.173,0.153
0.173,0.153
0.172,0.153
0.172,0.154
0.172,0.154
0.171,0.154
0.17,0.155
0.17,0.155
0.169,0.155
0.168,0.155
0.168,0.156
0.167,0.156
0.167,0.157
0.166,0.157
0.165,0.157
0.165,0.158
0.162,0.158
0.159,0.16
0.155,0.162
0.152,0.164
0.152,0.166
0.15,0.167
0.154,0.167
0.156,0.166
0.157,0.166
0.164,0.165
0.167,0.163
0.167,0.161
0.167,0.161
0.167,0.161
0.168,0.16
0.167,0.16
0.164,0.161
0.163,0.162
0.166,0.163
0.166,0.161
0.16,0.162
0.157,0.163
0.154,0.165
0.158,0.166
0.161,0.165
0.164,0.164
0.166,0.163
0.168,0.162
0.169,0.162
0.17,0.161
0.171,0.161
0.171,0.16
0.172,0.16
0.173,0.159
0.174,0.158
0.174,0.158
0.175,0.157
0.177,0.156
0.178,0.156
0.179,0.155
0.18,0.154
0.18,0.154
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.152
0.18,0.152
0.18,0.152
0.18,0.152
0.179,0.152
0.179,0.152
0.179,0.152
0.178,0.153
0.178,0.152
0.178,0.153
0.178,0.153
0.178,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.178,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.172,0.153
0.172,0.154
0.171,0.154
0.17,0.155
0.17,0.155
0.169,0.155
0.168,0.156
0.168,0.156
0.166,0.157
0.166,0.157
0.165,0.158
0.164,0.159
0.163,0.159
0.161,0.16
0.16,0.161
0.157,0.162
0.156,0.164
0.156,0.164
0.153,0.166
0.156,0.166
0.158,0.165
0.16,0.165
0.161,0.164
0.161,0.164
0.161,0.164
0.161,0.164
0.162,0.164
0.162,0.164
0.162,0.163
0.161,0.164
0.161,0.164
0.162,0.164
0.164,0.163
0.164,0.163
0.165,0.163
0.164,0.162
0.165,0.162
0.167,0.162
0.168,0.161
0.169,0.161
0.17,0.161
0.17,0.16
0.171,0.16
0.172,0.159
0.172,0.159
0.173,0.159
0.173,0.158
0.174,0.158
0.175,0.157
0.175,0.157
0.176,0.157
0.176,0.156
0.177,0.156
0.177,0.155
0.178,0.155
0.178,0.155
0.178,0.154
0.179,0.154
0.179,0.154
0.179,0.153
0.179,0.153
0.179,0.153
0.179,0.153
0.179,0.153
0.179,0.153
0.178,0.153
0.178,0.153
0.178,0.153
0.178,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.175,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.154
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.154
0.173,0.154
0.172,0.154
0.172,0.154
0.171,0.154
0.171,0.154
0.171,0.155
0.17,0.155
0.169,0.155
0.168,0.156
0.167,0.156
0.167,0.157
0.166,0.157
0.165,0.158
0.165,0.158
0.164,0.159
0.165,0.159
0.166,0.159
0.165,0.159
0.163,0.16
0.162,0.161
0.162,0.162
0.162,0.162
0.163,0.161
0.164,0.161
0.164,0.161
0.165,0.161
0.165,0.161
0.165,0.161
0.166,0.16
0.166,0.16
0.166,0.16
0.164,0.161
0.163,0.162
0.165,0.162
0.168,0.161
0.168,0.16
0.168,0.16
0.166,0.16
0.168,0.16
0.169,0.159
0.171,0.159
0.171,0.159
0.172,0.158
0.173,0.158
0.173,0.157
0.173,0.157
0.173,0.157
0.173,0.157
0.174,0.157
0.174,0.156
0.175,0.156
0.175,0.156
0.175,0.156
0.176,0.155
0.176,0.155
0.176,0.155
0.176,0.155
0.177,0.154
0.177,0.154
0.178,0.153
0.179,0.153
0.179,0.153
0.178,0.153
0.178,0.153
0.178,0.153
0.178,0.153
0.178,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.176,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.177,0.153
0.176,0.154
0.176,0.154
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.176,0.153
0.175,0.153
0.176,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.175,0.153
0.174,0.153
0.174,0.153
0.175,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.173,0.153
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.153
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.154
0.173,0.154
0.172,0.153
0.172,0.154
0.172,0.154
0.172,0.153
0.172,0.154
0.171,0.154
0.171,0.154
0.171,0.154
0.17,0.155
0.17,0.155
0.169,0.155
0.169,0.155
0.168,0.156
0.168,0.156
0.167,0.156
0.166,0.157
0.166,0.158
0.165,0.158
0.164,0.158
0.16,0.16
0.157,0.162
0.155,0.163
0.155,0.165
0.155,0.165
0.157,0.166
0.158,0.165
0.16,0.165
0.161,0.164
0.161,0.164
0.161,0.164
0.161,0.164
0.162,0.164
0.162,0.164
0.161,0.164
0.159,0.165
0.159,0.165
0.162,0.165
0.165,0.164
0.165,0.164
0.164,0.163
0.161,0.164
0.164,0.164
0.167,0.164
0.169,0.163
0.172,0.162
0.173,0.161
0.175,0.161
0.175,0.16
0.176,0.16
0.177,0.159
0.177,0.159
0.178,0.158
0.18,0.158
0.182,0.157
0.183,0.156
0.184,0.156
0.183,0.155
0.183,0.155
0.183,0.155
0.184,0.155
0.185,0.154
0.186,0.154
0.187,0.153
0.187,0.153
0.187,0.153
0.187,0.152
0.187,0.152
0.186,0.152
0.186,0.152
0.186,0.152
0.185,0.152
0.185,0.152
0.184,0.153
0.184,0.153
0.183,0.153
0.183,0.153
0.183,0.153
0.182,0.153
0.182,0.153
0.182,0.153
0.182,0.153
0.182,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.179,0.153
0.179,0.153
0.179,0.154
0.179,0.154
0.179,0.154
0.179,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.179,0.154
0.179,0.154
0.179,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.178,0.154
0.177,0.154
0.177,0.154
0.177,0.154
0.177,0.154
0.177,0.154
0.176,0.154
0.176,0.155
0.176,0.155
0.175,0.155
0.175,0.155
0.174,0.156
0.173,0.156
0.172,0.157
0.171,0.157
0.17,0.158
0.17,0.158
0.171,0.158
0.171,0.158
0.171,0.158
0.171,0.158
0.171,0.158
0.171,0.159
0.17,0.159
0.17,0.159
0.168,0.16
0.166,0.161
0.166,0.161
0.165,0.162
0.165,0.162
0.165,0.163
0.165,0.162
0.165,0.163
0.166,0.163
0.166,0.163
0.166,0.163
0.166,0.163
0.163,0.163
0.159,0.165
0.164,0.165
0.167,0.164
0.167,0.163
0.168,0.163
0.166,0.163
0.168,0.163
0.171,0.162
0.171,0.162
0.172,0.162
0.17,0.162
0.17,0.162
0.173,0.161
0.176,0.16
0.177,0.159
0.179,0.158
0.18,0.158
0.18,0.157
0.18,0.157
0.181,0.157
0.181,0.156
0.182,0.156
0.183,0.156
0.183,0.155
0.184,0.155
0.184,0.155
0.185,0.154
0.186,0.154
0.187,0.153
0.187,0.153
0.187,0.153
0.187,0.153
0.187,0.153
0.187,0.152
0.187,0.153
0.186,0.152
0.186,0.152
0.185,0.153
0.185,0.153
0.184,0.153
0.184,0.153
0.184,0.153
0.183,0.153
0.183,0.153
0.183,0.153
0.183,0.153
0.182,0.153
0.182,0.153
0.182,0.153
0.182,0.153
0.182,0.153
0.182,0.153
0.182,0.153
0.182,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.181,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
0.18,0.153
